날짜,제목
2024-12-31,결제카드를 잘못 사용했습니다.
2024-12-30,회원카드발급전 결제영수증 문의
2024-12-30,수소차량 충전시 환경부 카드 사용
2024-12-30,다시 문의드립니다.
2024-12-30,충전카드
2024-12-29,차량등록 확인요청
2024-12-28,차량번호 등록
2024-12-28,아이폰에서 카드 등록
2024-12-28,통합누리집 연동 불량
2024-12-27,나이스차저 충전기 오류 1년째 지속
2024-12-27,장애인 충전요금 할인 등록방법
2024-12-27,법인 전기차 회원가입 여부
2024-12-26,이중결제
2024-12-26,카드발급 문의
2024-12-26,카드 발급 관련 문의
2024-12-26,분실해체요청
2024-12-26,결제내역이 안보이는데 확인 부탁드립니다
2024-12-25,중고차량 기존 카드등록
2024-12-25,중고차를 구매후 회원가입하여 회원카드 발급방법
2024-12-25,법인 전기차 회원카드 관리자 변경 가능여부 문의
2024-12-24,카드정지
2024-12-24,표지발급
2024-12-24,전화번호 변경건
2024-12-24,개인신용카드로 결재 안되나요
2024-12-23,차량 등록불가 문의
2024-12-23,전기차충전기 설치장소 주차장 비용(1시간 무료주차) 건의
2024-12-23,카드를 신청했는데 한달이 넘도록 오지 않습니다.
2024-12-20,카드재발급문의
2024-12-20,회원카드 재발급 문의
2024-12-19,안녕하세요. 회원카드 차량번호 중복
2024-12-19,통합 누리집 사이트 오류 관련 문의
2024-12-18,충전기의 한전 고객번호를 알고 싶습니다.
2024-12-18,담당자명 변경 요청
2024-12-18,충전카드 사용 관련
2024-12-18,저공해3종 관련
2024-12-18,2025 BMW M5 미등록
2024-12-18,API 주소 데이터 요청 시 오류 발생
2024-12-18,모바일카드 실물카드 둘다 사용가능 한가요?
2024-12-18,며칠 전 발급 받은 신규 회원카드가 정지된 카드라고 하네요
2024-12-17,회원카드 중지로 인한 재발급 문의
2024-12-17,카드번호 확인 불가
2024-12-17,결제내역이 안보이는데 확인요청드립니다.
2024-12-17,카드 재발급
2024-12-16,핸드폰번호
2024-12-16,중고차구매
2024-12-16,등록 차량
2024-12-16,발송이 완료 된건지 확인이 안돼서 등기번호 알려주세요.
2024-12-16,공영주차장 주차비 할인
2024-12-16,결제비밀번호 필요
2024-12-15,분실해제
2024-12-15,차량 중복
2024-12-15,발송완료라 떠있는데 카드가 안왔는데 확인할 방법이 없습니다. 일처리하고는 참.
2024-12-13,오늘 차량 등록을 완료하였는데 저공해차량 조회가 되지 않습니다.
2024-12-13,법인카드 등록 후 카드결제 오류
2024-12-13,회원명 변경 문의
2024-12-13,법인차량 카드발급 관련
2024-12-13,멤버십카드 결제실패
2024-12-12,회원카드를 법인용으로 발급을 받을 수 있을까요?
2024-12-12,결제카드 등록 시 비밀번호 문제
2024-12-11,차량중복
2024-12-11,"중고차 구매, 차량 등록 중복이라고 나옵니다."
2024-12-11,차량중복
2024-12-10,제 카드 사용불가 해제 좀 도와주세요
2024-12-10,이용요금 조회가 되지 않습니다.
2024-12-10,"회원카드 충전, 결제가 안됩니다"
2024-12-10,저공해차량 조회
2024-12-10,카드를 발급받았습니다
2024-12-10,법인차량의 회원카드 발급
2024-12-09,전기차 충전 중에 앱을 통해 충전완료 알림
2024-12-09,회원카드로 결제 시 충전중 or 충전완료 알림은 오지 않는 것인가요?
2024-12-09,충전카드 충전시 비밀번호 lock 방법
2024-12-08,PHEV 차량 카드 신청
2024-12-06,가족 차량으로 이용하려고 하는데 이음 어플관련
2024-12-06,멤버쉽 카드 분실 해제 요청
2024-12-06,저공해 스티커 발급 방법 / 그 외 문의사항
2024-12-06,카드 재발급 절차
2024-12-06,카드 수령 전 사용
2024-12-05,모바일카드 결제정보 입력
2024-12-05,전화번호변경
2024-12-05,카드발급
2024-12-05,사용불가?
2024-12-05,카드 결제 오류 문의
2024-12-05,모바일 ev 앱에 로그인불가
2024-12-05,핸드폰 번호로 가입했는데 오류
2024-12-04,자료 요청
2024-12-03,회원카드 발급
2024-12-03,환경부 외 충전소 결제
2024-12-02,환경부카드 결제 미납.
2024-12-02,카드발급 신청을 했는데 이런 경우 어떻게 해야할까요?
2024-12-02,메뉴에서 [구매 및 지원] > [완속충전기] 페이지 내에 질문이 있습니다.
2024-12-02,저공해스티커발급
2024-12-02,결재카드 등록
2024-12-01,질문 드립니다
2024-12-01,차량번호 중복
2024-11-30,결제환급
2024-11-30,비밀번호 찾기 안됨
2024-11-30,차량번호 중복
2024-11-29,회원카드 신청시 차량번호 중복등록이라고 나옴
2024-11-29,회원카드신청 문의
2024-11-29,중복등록이라고해요
2024-11-29,회원카드 관련 문의
2024-11-29,차량 등록이 안돼요
2024-11-28,고장된 공공급속충전시설의 평균조치기간에 대한 의문이 있습니다.
2024-11-28,결제카드 변경 후 재결제 문의
2024-11-28,차량등록이 인되네요
2024-11-28,몇가지 질문 드립니다.
2024-11-28,환경부 카드 혜택이 궁금합니다.
2024-11-27,신차 구매하여 가입 후 카드 발급하려는데 차량번호 조회시 다른 차량이 조회됩니다
2024-11-27,결제카드변경
2024-11-27,카드 재발급 신청 및 절차
2024-11-27,차량 종류 미등록 문의
2024-11-27,카드 도착 예정일자 및 조회 불가
2024-11-27,충전을 체크카드로 했는데 조회가 안됩니다.
2024-11-27,회원카드 기본정보 변경 문의
2024-11-26,중고 전기차 구매후 회원카드 신청
2024-11-26,카드 배송이 언제 되는지 조회가 안되네요
2024-11-26,차량번호 등록불가
2024-11-26,회원카드 배송 문의
2024-11-26,회원카드가 반송되었어요!
2024-11-26,차량번호 등록불가
2024-11-25,모바일 어플에서 카드등록.....
2024-11-25,불편민원신고센터
2024-11-25,전기자동차 충전인프라 이용안내서 문의
2024-11-25,차량 한 대에 모바일카드와 실물 카드 동시 사용
2024-11-23,개명에 따른 회원정보 수정
2024-11-23,중고 전기차 구매후 회원카드 발급안내
2024-11-23,회원카드 신청 문의
2024-11-22,국고보조금만 받고 전기차 구매 후 명의자 지분 변경 가능 여부 문의
2024-11-21,아파트 이용자제한
2024-11-21,캐스퍼 일렉트릭은 카드발급이 안 되나요?
2024-11-20,중고차 명의변경 카드 발급
2024-11-20,회원카드 등록/번호조회 메뉴
2024-11-20,차량 번호 변경 및 환경부 App 문의
2024-11-20,결제요금 청구서
2024-11-20,차량번호 변경요청
2024-11-20,차량번호 변호요청
2024-11-19,차량번호 변경요청
2024-11-19,중고차 구매후 카드 발급 불가
2024-11-19,회원카드발급받았습니다. 환경부카드비밀번호있나요
2024-11-19,차량번호변경요청
2024-11-19,차량번호 변경요청
2024-11-19,차량번호 변경 요청
2024-11-19,차량 번호 변경 요청
2024-11-19,차량 번호 변경 요청
2024-11-19,회원카드 등록 차량번호 변경요청
2024-11-19,환경부 카드 차량번호 오기재 수정 부탁드립니다.
2024-11-19,카드 차량번호 변경 부탁드립니다.
2024-11-18,차량번호 변경 부탁드립니다.
2024-11-18,환경부 카드 차량번호변경 요청합니다.
2024-11-18,차량번호 변경요청 건
2024-11-18,카드정보 변경과 등록부탁드립니다. 조회에 나오지 않습니다.
2024-11-18,카드 차량번호 변경 요청 합니다.
2024-11-18,결제카드 차량번호 등록 요청드립니다.
2024-11-18,카드 차량번호 수정 요청
2024-11-18,회원카드 명의자 변경문의 件
2024-11-18,차량번호등록부탁드립니다.
2024-11-17,학교 기숙사 내 충전소 관련
2024-11-17,모바일카드 결제방법 문의
2024-11-17,차량번호 수정요청합니다.
2024-11-17,결재카드 변경 건
2024-11-17,차량번호 변경 요청합니다.
2024-11-17,카드 재발급 문의
2024-11-16,차량번호 변경 요청 합니다.
2024-11-16,차량번호 등록 요청드립니다.
2024-11-16,차량번호 변경 부탁합니다.
2024-11-16,차량 번호 변경 신청합니다.
2024-11-15,차량번호 변경 부탁드립니다
2024-11-15,차량번호 등록 부탁드립니다.
2024-11-15,차량번호 변경 요청
2024-11-15,충전요금 결재 조회 문의
2024-11-15,차량번호 변경 요청드립니다.
2024-11-15,차량번호 수정 부탁드립니다
2024-11-15,완속충전기 승인 및 개시일 문의
2024-11-15,정지된 카드
2024-11-14,차량 번호 등록 변경 요청 합니다.
2024-11-13,중고차구매 번호등록
2024-11-13,차량번호 변경요청드립니다.
2024-11-13,차량정보 수정
2024-11-13,충전했는데 이용요금조회에서 확인이 안됩니다
2024-11-13,회원카드 발급 받았는데 사용 시 회원가입 후 사용하라고 합니다.
2024-11-13,환경부카드 인식불가
2024-11-13,카드 삭제 가 안됩니다
2024-11-13,이용문의
2024-11-13,중고차 구매후 전 차주의 카드 취소가 없어.. 카드 신청을 못하고 있습니다.
2024-11-12,등록차량 번호 변경부탁드립니다
2024-11-12,차량번호... 회원이 직접 바꿀수 있게 수정 부탁드립니다. 너무 불편합니다.
2024-11-12,중고차량 기존 카드등록
2024-11-12,차량번호 변경 요청 합니다.
2024-11-12,등록차량번호 변경 요청합니다.
2024-11-12,개인정보 중 이름과 휴대전화번호 변경 요청
2024-11-12,차량번호 및 결재카드 등록 요청합니다.
2024-11-12,차량번호 등록
2024-11-12,[추가문의_재배송]회원카드 등기를 수령하지 못했는데
2024-11-12,회원카드 차량 번호 변경 요청합니다.
2024-11-12,회원카드 등기를 수령하지 못했는데
2024-11-12,법인명의 전기차 여러대
2024-11-12,카드 분실신고
2024-11-11,무공해 전기차 카드 분실 관련 재발급이 안됩니다
2024-11-11,회원카드 등록을 위해 차량번호 등록 부탁드립니다.
2024-11-11,회원카드 차량번호 변경 요청드립니다
2024-11-11,회원카드 차량번호 변경요청
2024-11-11,회원카드 차량 번호 변경 요청합니다
2024-11-11,회원카드 차량번호 변경 요청 드립니다.
2024-11-11,회원카드 차량 번호 변경 요청
2024-11-11,중고전기차 구입후 기존차량등록되여 추가로 등록안되는경우
2024-11-11,충전 내역 없음
2024-11-11,카드 결제 오류 관련
2024-11-11,카드 내역 없음
2024-11-11,중고 전기차 구매 후 중복으로 인한 신규회원카드 발급 제한문의
2024-11-11,차량번호 중복/중고차 구매
2024-11-11,차량번호 수정 요청
2024-11-11,결제카드등록
2024-11-10,중고차 전기 구매 후 이미 등록된 차량이라 등록 불가
2024-11-10,회원변경요청합니다.
2024-11-10,캐스퍼 일레트릭은 언제 카드발급 명단에 추가되나요?
2024-11-10,회원카드 변경
2024-11-10,차량번호 등록 및 멤버쉽 카드 관련 질문
2024-11-10,회원카드 변경의 건
2024-11-10,중복등록 차량번호로 카드신청을 못 하고 있습니다.
2024-11-10,환경부 멤버십 카드 사용
2024-11-09,차량번호 등록을 하고 싶은데 어디서 하는지 모르겠습니다.
2024-11-08,이미 등록된 차량입니다. 문제 해결 필요
2024-11-08,차량번호등록
2024-11-08,회원정보에 발급된 멤버십 카드번호가 안 뜨나요?
2024-11-08,차주와 사용자가 다른경우
2024-11-08,차랑번호 등록
2024-11-08,[모바일esim 사용중]
2024-11-08,중고차 등록된 차량번호
2024-11-08,입주자가 아니라고 출입을 못하게 하는데 이게 정당한것인지 궁금합니다
2024-11-07,차량 번호 등록차량 변경 요청
2024-11-07,카드 분실 재발급
2024-11-07,차량번호변경
2024-11-07,중고차 구매 후 이미등록된 차량번호로 인한 카드신청 불가문의
2024-11-07,법인차량 사용자가 바뀔경우는?
2024-11-07,법인 사용 충전카드 관련 문의드립니다.
2024-11-07,회원카드 만들려고 하는데 제 차번호로 이미 카드가 발급되어있다고 합니다.
2024-11-07,이전에 중고로 판매한 차량의 카드 발급 기록이 있는데 해당 카드를 삭제 가능한지 문의드립니다.
2024-11-07,환경부카드발급(중고차 구매후 이미 등록된 차량)
2024-11-07,"발급 받은 카드를 등록 신청하려는데, 결제카드 등록 내역에 아무것도 없어서 등록 못하고 있어요."
2024-11-06,차량번호 변경은 ?
2024-11-06,앱설치 후 핸드폰 번호를 수정 후 서비스를 이용하라는 메세지
2024-11-06,충전기 교체관련입니다
2024-11-06,회원카드변경신청
2024-11-06,회원카드 차량번호 변경신청
2024-11-06,회원명 변경 문의
2024-11-06,이미 등록된 차량번호
2024-11-06,카드 배송
2024-11-06,차량번호 변경요청
2024-11-06,이용요금 조회에 조회되지 않은 카드승인건
2024-11-05,신차 차량 등록 문의
2024-11-05,전기차 충전설비 운영시 안전장비은 ???
2024-11-05,충전기 및 기타(지도) 문의
2024-11-05,신차 차량번호 등록 문의 합니다.
2024-11-05,로밍 서비스 신청 문의사항
2024-11-05,중고차 구입후 등록하려는대
2024-11-04,무공해 전기차 카드 분실 관련 질의.
2024-11-04,환경부충전카드 분실
2024-11-04,등록차량이라고 나오네요.
2024-11-03,미납요금 문의
2024-11-03,중고차 관련
2024-11-03,이미 등록된 차량이라고 나오는데 어떡해 해야 하나요?
2024-11-03,명의이전
2024-11-02,이미 등록된 차량으로 나옵니다.
2024-11-02,카드 수령을 못해 반환
2024-11-02,차량번호 어떻게 바꾸나요?
2024-11-02,카드 조회 안됨
2024-11-02,차량번호 등록 요청
2024-11-01,멤버십 카드 재발급 이후 충전이 안됨
2024-11-01,회원카드 정보번경 해주세요
2024-11-01,회원카드 등기배송
2024-11-01,차량번호 변경
2024-11-01,중고차 구입 이미 등록된 카드라고 나옵니다.
2024-11-01,무공해차 통합누리집 홈페이지 계정 이름 변경 요청
2024-11-01,중고차구매 / 이미 등록된 차량
2024-11-01,중고차 구매.이미등록된 차량번호
2024-11-01,차량 번호 변경 요청의 건
2024-10-31,차량번호 수정부탁드립니다.
2024-10-31,회원카드 차량번호 변경요청의 건
2024-10-31,차량번호 등록
2024-10-31,가까운 충전소 찾기시 충전기 위치가 실제와 다름
2024-10-31,법인 회원가입 및 법인 카드 발급 문의
2024-10-31,회원카드 태그시 회원 확인 에러
2024-10-31,법인 전기차 담당자 변경
2024-10-31,충전카드
2024-10-31,카드발급시 이미 등록된 차량번호로 나옵니다(중고차량 구입)
2024-10-31,결제카드 등록
2024-10-30,회원카드 차량번호 변경 요청
2024-10-30,카드 발급완료
2024-10-30,환경부카드 발급시 이미 등록된 차량번호(중고차) 해결 요청드립니다.
2024-10-30,오늘 받은 회원카드를 등록하려 하는데
2024-10-30,차량번호 수정
2024-10-30,회원카드 차량번호 변경
2024-10-30,[재문의] 결제금액 확인 요청
2024-10-30,차량구입후 차량번호등록
2024-10-30,공공데이터 문의
2024-10-30,전기차량 충전이용 요금 조회
2024-10-30,회원카드 재발급요청
2024-10-30,회원가입하려는데
2024-10-30,차량판매후 카드폐기
2024-10-29,카드에 등록된 차량번호 변경
2024-10-29,카드 발급 후 차량번호 등록 관련
2024-10-29,차량번호 변경 문의 드립니다
2024-10-29,중고차 전차주해지요청
2024-10-29,충전기 카드 차량 번호변경 요청
2024-10-29,회원카드정보 이전
2024-10-29,전기차 중고구매로 인한 카드 발급
2024-10-29,차량번호 변경 요청
2024-10-29,차량번호 변경 요청합니다
2024-10-29,"충전카드 파손, 재발급 문의"
2024-10-28,차량번호 변경요청
2024-10-28,차량번호 변경 요청
2024-10-28,차량번호 변경 요청
2024-10-28,차량번호 변경 요청
2024-10-28,차량번호 변경 요청
2024-10-28,회원카드 재배송 주소
2024-10-28,회원 차량번호 변경
2024-10-28,충전카드 분실 및 재발급 문의
2024-10-28,2채널 충전기에 대하여
2024-10-28,카드발급
2024-10-28,회원 차량번호 변경
2024-10-28,회원카드 미수령
2024-10-28,충전카드 분실
2024-10-28,법인카드
2024-10-28,중고차량 구매후 카드신청 문의
2024-10-28,카드분실
2024-10-28,중고차 구입후 회원카드 신청
2024-10-28,회원카드 재발급
2024-10-27,중고차 구매 후 차량번호 중복으로 인한 가입 불가능
2024-10-27,가상 차대번호 말고 전기차 실물번호 등록변경요청합니다
2024-10-27,차량번호 중복으로 카드 발급이 안됨니다.
2024-10-27,회원카드 차량번호 변경
2024-10-27,회원카드 차량번호 변경 요청
2024-10-27,결제금액 확인 요청
2024-10-26,중고차 구매후 카드발급 하려는데 차량번호 중복으로 발급이 안됩니다.
2024-10-26,충전 시 비밀번호 입력 문의의 건
2024-10-26,회원카드 차량번호 수정방법
2024-10-26,중고 전기차 구매 후 회원카드 발급문의
2024-10-26,회원카드 비밀번호 확인
2024-10-25,회원카드 변경 요청 드립니다.
2024-10-25,중고차 구입 후 기존 회원카드 재발급
2024-10-25,충전카드 배송 조회는 어떻게 하나요?
2024-10-25,중고차 구입후 회원카드 신청
2024-10-25,중고차 구매후 이미 등록된 번호
2024-10-25,중고차를 구입했는데 차량중복번호 라고 카드 신청이 안됩니다.
2024-10-24,중고차 구매 후 카드 신청 문의
2024-10-24,회원카드 차량번호 변경
2024-10-24,회원카드 차량번호 변경
2024-10-24,중고차 구매로 인한 변경문의
2024-10-24,자동차 번호 변경
2024-10-24,중고차 구매 후 등록된 번호라고 카드 신청이 안됩니다.
2024-10-24,중고차 구매 차량 번호 중복 및 추가 신차 구매시 카드 사용 방법
2024-10-23,중고차 구입하였으나 차량번호 중복으로 나옵니다.
2024-10-23,결제카드등록
2024-10-23,회원카드 분실했는데 재발급 관련 문의 드립니다
2024-10-23,회원카드 등록된 차량번호 변경
2024-10-23,회원카드 차량번호 변경
2024-10-23,중고차로 구입했는데 중복으로 카드등록이 안됩니다 해결해주세요
2024-10-23,모바일 카드 결제
2024-10-23,10원단위 미만 절사 관련
2024-10-23,회원카드에 등록된 차량 번호 변경
2024-10-23,회원카드 재배송 받을 주소
2024-10-22,결제카드 등록이요
2024-10-22,차량번호변경
2024-10-22,카드 분실로 인한 재발급
2024-10-22,"실물카드,모바일 카드(정지처리) 중복 등록"
2024-10-22,회원카드 언제도착할까요
2024-10-22,회원카드 미수령
2024-10-22,카드신청 취소
2024-10-22,멤버십카드 등록은 어디서하나요?
2024-10-22,회원카드를 분실 했는데 재발급이 가능한지 궁금 합니다
2024-10-22,차량번호 변경
2024-10-22,이용요금 조회가 안됩니다
2024-10-22,차량번호를변경하고싶은데요
2024-10-22,이미등록된차량이라서
2024-10-22,회원 카드 신청했는데 수령하지 않았는데 발급완료로 떴습니다
2024-10-21,중고차 구매했는데 차량번호 중복으로 카드신청이 안됩니다.
2024-10-21,중고로 전기차를 구매했는데 등록이 안되네요
2024-10-21,결제카드 등록이 안되요
2024-10-21,결재카드 차량번호 교체
2024-10-21,차량번호 변경
2024-10-21,차량번호 변경
2024-10-21,차량번호 변경 부탁드립니다.
2024-10-21,차량 번호 변경 요청
2024-10-21,충전요금 단가 확인
2024-10-21,차량 사용자가 변경되어 카드를 신청하려고 하는데 중복된 차량이라서 등록이 안됨
2024-10-21,차량번호 변경 부탁드립니다.
2024-10-21,차량번호 등록 요청 및 결제카드 등록 문의
2024-10-21,회원카드 차량번호(2건) 및 회원정보 수정 요청
2024-10-21,결제카드 등록 부탁드립니다.
2024-10-21,충전카드 차량번호 변경요청
2024-10-21,회원카드 차량번호 변경 부탁드립니다.
2024-10-20,중고차 구매 차량번호 중복
2024-10-20,카드를 분실했는데 재발급을 어떻게 해야하는지 모르겠습니다.
2024-10-20,휴게소 충전
2024-10-20,차량정보 변경 요청 드립니다.
2024-10-20,차량번호수정
2024-10-19,차량번호 수정
2024-10-19,기존 카드 삭제가 안되요
2024-10-19,충전카드 발급 문의요
2024-10-19,카드배송
2024-10-19,차량번호 등록 문의
2024-10-19,카드 분실
2024-10-19,카드등록
2024-10-18,회원 카드 배송문의
2024-10-18,차량 번호 등록 요청
2024-10-18,결제카드 등록 할려고하니 카드가 없습니다.
2024-10-18,10원단위 미만 절사 관련
2024-10-18,카드 재배송 요청드립니다.
2024-10-18,카드가 훼손되어 재발급요청드립니다
2024-10-18,차량정보 변경 요청 드립니다.
2024-10-18,카드발급신청 / 이미 등록되어 있는 번호 관련
2024-10-17,회원카드 발급 관련 문의
2024-10-17,중고차 구매건
2024-10-17,회원카드 발급
2024-10-17,영수증 출력이름 변경문의
2024-10-17,"카드 배송이 안된 것 같은데, 재발급 하고 싶습니다."
2024-10-17,환경부카드로 충전을 했는데 결제된 내역이 없습니다
2024-10-17,차량번호 등록이 필요합니다
2024-10-17,차량번호 수정부탁드립니다.
2024-10-17,충전카드 등록 문의
2024-10-17,이미 등록된 카드 입니다
2024-10-17,차번호변경시
2024-10-17,카드발급 후 미등록 회원 표시
2024-10-17,"이용요금 영수증 조회시 표출되는 공급가액,부가세 계산법 수정요청"
2024-10-17,이전 회사에 다닐때 사용한 법인 전기차를 제 전기차 환경부 카드에서 등록 해지하고싶습니다.
2024-10-17,결제카드 변경
2024-10-16,이전에 차량번호가 등록이 되어 있어 카드 발급을 못받고 있습니다.
2024-10-16,결제 카드 등록이 안됩니다 빠르게 해결 부탁드릴게요
2024-10-16,환경부카드앱에 등록하려니 정지된 카드라고 나와요
2024-10-16,충전요금 조회가 안됩니다
2024-10-16,차량번호 변경입니다
2024-10-16,내 차 무공해 확인이 안됩니다.
2024-10-16,차량번호 변경 요청
2024-10-16,차량번호 변경과 결제카드 등록
2024-10-16,차량번호 변경
2024-10-16,카드등록시 정지카드메시지 문제
2024-10-16,충전요금 공개 문의
2024-10-16,차량번호 변경 요청
2024-10-16,차량 번호 변경 요청
2024-10-16,기존 회원카드 재사용 가능문의(차량번호 변경)
2024-10-15,차량번호 변경 요청
2024-10-15,회원카드 차량 번호 수정
2024-10-15,중고차 등록
2024-10-15,차량번호 변경 요청
2024-10-15,차량번호 수정 입력 방법
2024-10-15,차량번호 입력 및 수정
2024-10-15,차량번호 변경
2024-10-15,중고차 차량 등록
2024-10-14,2022년 발급 회원카드와 현재 발급 회원카드와 차이가 있나요?
2024-10-14,차량 명의와 환경부 카드 명의가 달라도 되나요?
2024-10-14,결재가드등록 방법좀 알려 주세요
2024-10-14,회원카드 관련 입니다.
2024-10-14,회원카드 재발급 문의
2024-10-14,중고차 차량번호 등록이 안됩니다
2024-10-14,회원카드 재발급 문의
2024-10-14,회원카드에 결제카드 및 차량을 등록하려고 합니다.
2024-10-14,중고차 구입시 회원카드발급 안됩니다
2024-10-14,충전카드와 차량등록번호 해지해 주세요.
2024-10-14,차량번호 변경 문의
2024-10-13,차량번호 변경문의
2024-10-13,중고차 구매 후 차량번호 등록
2024-10-13,환경부 전기 충전 카드 회원 신청하고 카드 발급했는데........
2024-10-13,차량등록
2024-10-13,중고차 구입 후 차량번호 중복으로 인한 발급 제한
2024-10-13,중고차 구입 후 회원카드 등록 시 중복번호 문제
2024-10-13,회원카드 이용불가
2024-10-13,카드 회원정보 변경 및 결제카드 등록 문의
2024-10-12,환경부카드 등록 문제
2024-10-12,결제 카드 삭제 방법
2024-10-11,환경부카드 다시 신청했는데 배송주소 뒷부분 상세주소가 누락된거 같거든요 그리고 중고차 구매했는데 등록시 중복이라고 안되네요
2024-10-11,회원등록 인증이 되지 않은 카드라고 조회됩니다.
2024-10-11,차량 변경시 카드 교체여부
2024-10-11,회원카드 등록
2024-10-11,회원카드 분실후 재발급시 차량번호등록
2024-10-11,모바일 회원카드 발급
2024-10-11,공공충전인프라 멤버십카드 등록 요청
2024-10-11,중고차 구입후 차량번호중복
2024-10-11,환경부 전기차 카드 발급 관련 문의
2024-10-11,회원카드 차량번호 변경입니다.
2024-10-11,중고차 차량번호 중복 문의 드립니다.
2024-10-11,환경부 카드발급
2024-10-11,모바일 어플 로그인이 안되서 멤버십 카드 등록 불가
2024-10-10,회원카드 차량 등록 변경 방법 및 결제 카드 등록 방법 문의 건
2024-10-10,회원카드 재발급문의
2024-10-10,차량번호변경
2024-10-10,차량번호 변경요청
2024-10-10,카드 재발급
2024-10-10,중고차 구입 후 차량등록문제
2024-10-10,차량 번호 변경 요청 드립니다!!
2024-10-10,어플 상 회원카드가 보이지 않습니다.
2024-10-10,최신 업체별 급속/완속 전기차 충전소 설치 현황 자료 확인 방법
2024-10-10,중고차량 구입으로 인한 카드 신청 시 차량번호 중복 문제
2024-10-09,차량번호 변경 요청합니다.
2024-10-09,차량번호 변경 요청드립니다.
2024-10-09,카드분실로 재발급
2024-10-08,발급받은 충전카드가 보이지 않습니다
2024-10-08,카드를 신청했는데 결제카드등록이 안되서요
2024-10-08,결재카드 변경 요청
2024-10-08,전기차 충전카드 차량번호 수정 요청드립니다.
2024-10-08,결제카드등록
2024-10-08,보유중인 충전카드 해지 문의
2024-10-08,중고차 차량번호 중복등록
2024-10-08,차량번호 변경 요청합니다.
2024-10-08,차량번호 변경 요청드립니다.
2024-10-08,차량 번호 변경 신청합니다
2024-10-08,중고차 회원카드 등록 문의
2024-10-08,"환경부 카드 분실, 재발급 요청"
2024-10-08,차량번호
2024-10-07,중고차 구매 차량번호 중복
2024-10-07,"중고차 구매, 차량번호 중복"
2024-10-07,회원카드 차량번호 변경 요청
2024-10-07,차량번호 변경 요청드립니다.
2024-10-07,중복차량
2024-10-07,임시회원카드
2024-10-07,회원카드를 발급받았으나 결재카드 등록이 안됩니다.
2024-10-07,차량번호 변경 및 결제카드 등록 요청합니다
2024-10-07,차량번호 변경 요청 및 결제카드 등록 문의
2024-10-07,차량번호수정
2024-10-07,차량번호 수정요청
2024-10-07,차량번호 수정요청드립니다
